fpr,tpr
0.0,0.0
0.0,0.15776173285198555
0.0,0.19350180505415163
0.0,0.22310469314079423
0.0,0.24259927797833936
0.0,0.2602888086642599
0.0,0.27256317689530685
0.0,0.28303249097472927
0.0,0.29819494584837547
0.0,0.303971119133574
0.0,0.31227436823104693
0.0,0.31841155234657037
0.0,0.3256317689530686
0.0,0.33176895306859205
0.0,0.3379061371841155
0.0,0.34332129963898916
0.0,0.3476534296028881
0.0,0.3555956678700361
0.0,0.36064981949458486
0.0,0.3649819494584838
0.0,0.36859205776173287
0.0,0.37328519855595665
0.0,0.3765342960288809
0.0,0.3819494584837545
0.0,0.3855595667870036
0.0,0.39025270758122743
0.0,0.39494584837545127
0.0,0.3996389891696751
0.0,0.4043321299638989
0.0,0.4075812274368231
0.0,0.4108303249097473
0.0,0.4151624548736462
0.0,0.42093862815884475
0.0,0.42707581227436825
0.0,0.43176895306859203
0.0,0.4375451263537906
0.0,0.4407942238267148
1.5696123057604773e-05,0.44404332129963897
1.5696123057604773e-05,0.4465703971119134
1.5696123057604773e-05,0.45018050541516247
1.5696123057604773e-05,0.4541516245487365
1.5696123057604773e-05,0.4617328519855596
1.5696123057604773e-05,0.4693140794223827
1.5696123057604773e-05,0.4732851985559567
1.5696123057604773e-05,0.47833935018050544
1.5696123057604773e-05,0.48592057761732854
1.5696123057604773e-05,0.49350180505415164
1.5696123057604773e-05,0.4963898916967509
1.5696123057604773e-05,0.5036101083032491
1.5696123057604773e-05,0.511913357400722
1.5696123057604773e-05,0.5220216606498195
1.5696123057604773e-05,0.5368231046931408
1.5696123057604773e-05,0.5407942238267148
1.5696123057604773e-05,0.5537906137184115
1.5696123057604773e-05,0.5617328519855596
1.5696123057604773e-05,0.5703971119133574
1.5696123057604773e-05,0.6097472924187726
3.1392246115209545e-05,0.6462093862815884
4.7088369172814315e-05,0.6971119133574007
6.278449223041909e-05,0.7285198555956679
9.417673834562863e-05,0.7613718411552347
0.00014126510751844294,0.7848375451263538
0.0001726573536336525,0.7884476534296029
0.00020404959974886202,0.796028880866426
0.00023544184586407157,0.8021660649819494
0.0002668340919792811,0.8155234657039712
0.0003139224611520954,0.8256317689530686
0.000345314707267305,0.8335740072202166
0.0003767069533825145,0.8375451263537906
0.00040809919949772404,0.8462093862815885
0.00047088369172814315,0.848014440433213
0.0005022759378433527,0.851985559566787
0.0005807565531313765,0.855956678700361
0.0006278449223041908,0.8628158844765343
0.0006592371684194004,0.867870036101083
0.0007063255375922147,0.8700361010830325
0.000753413906765029,0.8740072202166065
0.0008005022759378433,0.8754512635379061
0.0008318945220530529,0.8783393501805055
0.0008632867681682624,0.8801444043321299
0.0009260712603986816,0.8826714801444043
0.0009731596295714959,0.8848375451263538
0.00102024799874431,0.8862815884476535
0.0011144247370899387,0.8888086642599278
0.0011458169832051484,0.8902527075812274
0.0011772092293203579,0.8909747292418773
0.0012242975984931722,0.892057761732852
0.0012713859676659865,0.8927797833935018
0.0013184743368388008,0.8942238267148015
