species,precision,precision_95ci,recall,recall_95ci,f1,support,reliable
Red tailed Black Cockatoo,0.915,"[0.88, 0.94]",0.856,"[0.81, 0.89]",0.884,313,yes
Rainbow Bee eater,0.829,"[0.78, 0.87]",0.925,"[0.89, 0.95]",0.874,293,yes
Magpie Goose,0.808,"[0.67, 0.90]",0.913,"[0.79, 0.98]",0.857,46,yes
Black Kite,0.807,"[0.75, 0.85]",0.798,"[0.74, 0.84]",0.802,262,yes
Tawny Frogmouth,0.898,"[0.83, 0.95]",0.721,"[0.64, 0.79]",0.800,147,yes
Barking Owl,0.674,"[0.61, 0.73]",0.938,"[0.89, 0.97]",0.784,161,yes
Blue winged Kookaburra,0.732,"[0.66, 0.79]",0.766,"[0.70, 0.83]",0.749,175,yes
Diamond Dove,0.574,"[0.43, 0.71]",0.939,"[0.80, 0.99]",0.713,33,yes
Galah,0.746,"[0.67, 0.81]",0.655,"[0.58, 0.72]",0.697,197,yes
Laughing Kookaburra,0.613,"[0.53, 0.69]",0.705,"[0.62, 0.78]",0.655,139,yes
Pheasant Coucal,0.488,"[0.38, 0.60]",0.627,"[0.50, 0.74]",0.549,67,yes
Helmeted Friarbird,0.478,"[0.38, 0.57]",0.639,"[0.53, 0.74]",0.547,86,yes
Bush Stone curlew,0.661,"[0.57, 0.75]",0.438,"[0.36, 0.52]",0.527,169,yes
Masked Owl,0.447,"[0.30, 0.60]",0.438,"[0.29, 0.59]",0.442,48,yes
Whistling Kite,0.734,"[0.64, 0.81]",0.294,"[0.24, 0.35]",0.420,272,yes
Partridge Pigeon,0.430,"[0.32, 0.54]",0.378,"[0.28, 0.48]",0.402,98,yes
Sulphur crested Cockatoo,0.575,"[0.42, 0.72]",0.265,"[0.18, 0.36]",0.362,102,yes
Channel billed Cuckoo,0.260,"[0.16, 0.38]",0.442,"[0.29, 0.60]",0.328,43,yes
Great Bowerbird,0.167,"[0.10, 0.26]",0.471,"[0.30, 0.65]",0.246,34,yes
Azure Kingfisher,0.138,"[0.04, 0.32]",0.500,"[0.16, 0.84]",0.216,8,no
Torresian Crow,0.103,"[0.04, 0.20]",0.467,"[0.21, 0.73]",0.169,15,no
Gouldian Finch,0.077,"[0.00, 0.36]",1.000,"[0.03, 1.00]",0.143,1,no
Hooded Parrot,0.188,"[0.04, 0.46]",0.097,"[0.02, 0.26]",0.128,31,yes
