recall,precision
1.0,0.04
1.0,0.040196379257440934
1.0,0.040400925212027754
1.0,0.04060756354618723
1.0,0.04081632653061224
1.0,0.041027247103037894
1.0,0.041240358885565875
1.0,0.041455696202531644
1.0,0.04167329409893431
1.0,0.041893188359449954
1.0,0.042115415528050155
1.0,0.042340012928248225
1.0,0.04256010396361273
1.0,0.04278948227992814
1.0,0.04302134646962233
1.0,0.04325573716361235
1.0,0.04349269588313413
1.0,0.04373226506426306
1.0,0.04397448808324941
1.0,0.04421940928270042
1.0,0.04446707399864223
1.0,0.04471752858849633
1.0,0.04497082046000687
1.0,0.045219192267863306
1.0,0.045478215587571605
1.0,0.04574022346368715
1.0,0.046005267778753293
1.0,0.04627340162486754
1.0,0.04654467933913661
1.0,0.04681915654038599
1.0,0.047096890167175984
1.0,0.04737793851717902
1.0,0.04766236128797526
1.0,0.0479502196193265
1.0,0.04823269513991164
1.0,0.04852750509353584
1.0,0.048825941110696984
1.0,0.049128070504406526
1.0,0.04943396226415094
1.0,0.04974368710841086
1.0,0.050057317539166986
1.0,0.05037492789848106
1.0,0.050696594427244585
1.0,0.05102239532619279
1.0,0.051352410819286556
1.0,0.051676528599605524
1.0,0.05201508834623784
1.0,0.052358113509192644
1.0,0.052705693019513174
1.0,0.0530579181855002
1.0,0.05341488277268094
1.0,0.05377668308702791
1.0,0.054143418061582974
1.0,0.05451518934665002
1.0,0.05489210140372931
1.0,0.05527426160337553
1.0,0.055649957519116396
1.0,0.056042780748663104
1.0,0.05644118914261095
1.0,0.05684530266869169
1.0,0.05725524475524475
1.0,0.05767114241690513
1.0,0.05809312638580931
1.0,0.058521331248603974
1.0,0.05895589558955896
1.0,0.05939696214010429
0.9961832061068703,0.05961626313385107
0.9961832061068703,0.06005522319374137
0.9961832061068703,0.060514722930674704
0.9961832061068703,0.060981308411214956
0.9961832061068703,0.06145514480809983
0.9961832061068703,0.06193640246796393
0.9961832061068703,0.0624252571155226
0.9961832061068703,0.06292189006750241
0.9961832061068703,0.06342648845686513
0.9961832061068703,0.06393924546790788
0.9961832061068703,0.06446036058285996
0.9961832061068703,0.06499003984063745
0.9961832061068703,0.06551204819277108
0.9961832061068703,0.06605922551252848
0.9961832061068703,0.0666156202143951
0.9961832061068703,0.06718146718146718
0.9961832061068703,0.06775700934579439
0.9961832061068703,0.06834249803613511
0.9961832061068703,0.06893819334389857
0.9961832061068703,0.06954436450839328
0.9961832061068703,0.07016129032258064
0.9961832061068703,0.07078925956061839
0.9961832061068703,0.07142857142857142
0.9961832061068703,0.07205963556046384
0.9961832061068703,0.0727222067428253
0.9961832061068703,0.07339707536557931
0.9961832061068703,0.07408458699971615
0.9961832061068703,0.07478510028653296
0.9961832061068703,0.07549898756146949
0.9961832061068703,0.07622663551401869
0.9961832061068703,0.07696844588616927
0.9961832061068703,0.07772483621203097
0.9961832061068703,0.07849624060150376
0.9961832061068703,0.07928311057108141
0.9961832061068703,0.08006134969325153
0.9961832061068703,0.08088007437248218
0.9961832061068703,0.08171571696931747
0.9961832061068703,0.08256880733944955
0.9961832061068703,0.08343989769820973
0.9961832061068703,0.08432956381260097
0.9961832061068703,0.0852384062704115
0.9961832061068703,0.08616705183228789
0.9961832061068703,0.08711615487316422
0.9961832061068703,0.0880863989200135
0.9961832061068703,0.08907849829351536
0.9961832061068703,0.09006211180124224
0.9961832061068703,0.09109947643979058
0.9961832061068703,0.09216101694915255
0.9961832061068703,0.09328091493924232
0.9961832061068703,0.09439421338155515
0.9961832061068703,0.09553440702781844
0.9961832061068703,0.09670248240088922
0.9961832061068703,0.09789947486871718
0.9961832061068703,0.09912647170527915
0.9961832061068703,0.10038461538461538
0.9961832061068703,0.10167510712894429
0.9961832061068703,0.10295857988165681
0.9961832061068703,0.10431654676258993
0.9961832061068703,0.10571081409477522
0.9961832061068703,0.10714285714285714
0.9961832061068703,0.10861423220973783
0.9961832061068703,0.11012658227848102
0.9961832061068703,0.1116816431322208
0.9961832061068703,0.11328125
0.9961832061068703,0.11492734478203434
0.9961832061068703,0.11662198391420911
0.9961832061068703,0.11836734693877551
0.9961832061068703,0.12011044638748274
0.9961832061068703,0.12196261682242991
0.9961832061068703,0.12387280493592787
0.9961832061068703,0.12584378013500483
0.9961832061068703,0.12787849093581577
0.9961832061068703,0.1299800796812749
0.9961832061068703,0.1321518987341772
0.9961832061068703,0.13439752832131824
0.9961832061068703,0.13672079622839184
0.9961832061068703,0.13912579957356078
0.9961832061068703,0.14161692892023875
0.9961832061068703,0.14411927112092768
0.9961832061068703,0.14679415073115862
0.9961832061068703,0.14957020057306591
0.9961832061068703,0.15245327102803738
0.9961832061068703,0.15544967242406194
0.9961832061068703,0.15856622114216282
0.9961832061068703,0.16181029138251704
0.9961832061068703,0.1651898734177215
0.9961832061068703,0.1687136393018746
0.9961832061068703,0.17239101717305153
0.9961832061068703,0.1762322754895341
0.9961832061068703,0.18012422360248448
0.9961832061068703,0.1843220338983051
0.9961832061068703,0.18872017353579176
0.9961832061068703,0.19333333333333333
0.9923664122137404,0.19741837509491267
0.9923664122137404,0.20249221183800623
0.9923664122137404,0.20783373301358912
0.9847328244274809,0.21182266009852216
0.9847328244274809,0.21772151898734177
0.9847328244274809,0.22395833333333334
0.9847328244274809,0.23056300268096513
0.9847328244274809,0.23735050597976082
0.9847328244274809,0.24478178368121442
0.9847328244274809,0.25269343780607245
0.9847328244274809,0.2611336032388664
0.9847328244274809,0.27015706806282724
0.9809160305343512,0.2787418655097614
0.9809160305343512,0.2890888638920135
0.9809160305343512,0.3002336448598131
0.9809160305343512,0.31227217496962334
0.9809160305343512,0.32531645569620254
0.9809160305343512,0.3394980184940555
0.9809160305343512,0.3544827586206897
0.9809160305343512,0.3713872832369942
0.9770992366412213,0.3884673748103187
0.9770992366412213,0.40894568690095845
0.9732824427480916,0.4300168634064081
0.9732824427480916,0.45535714285714285
0.9656488549618321,0.48007590132827327
0.9656488549618321,0.5121457489878543
0.950381679389313,0.5401301518438177
0.950381679389313,0.5817757009345794
0.950381679389313,0.6303797468354431
0.9389312977099237,0.6776859504132231
0.9312977099236641,0.7393939393939394
0.9083969465648855,0.8013468013468014
0.8740458015267175,0.8674242424242424
0.8358778625954199,0.948051948051948
0.7404580152671756,0.9797979797979798
0.6259541984732825,0.9939393939393939
0.5038167938931297,1.0
0.37786259541984735,1.0
0.25190839694656486,1.0
0.12595419847328243,1.0
0.0,1.0
