fpr,tpr
0.0,0.0
0.0,0.003816793893129771
0.0,0.5038167938931297
0.00015903307888040714,0.5038167938931297
0.00015903307888040714,0.7175572519083969
0.00047709923664122136,0.7175572519083969
0.00047709923664122136,0.7213740458015268
0.0006361323155216285,0.7213740458015268
0.0006361323155216285,0.7519083969465649
0.0007951653944020356,0.7519083969465649
0.0007951653944020356,0.7595419847328244
0.0009541984732824427,0.7595419847328244
0.0009541984732824427,0.8015267175572519
0.0014312977099236641,0.8015267175572519
0.0014312977099236641,0.8091603053435115
0.0017493638676844784,0.8091603053435115
0.0017493638676844784,0.816793893129771
0.0019083969465648854,0.816793893129771
0.0019083969465648854,0.8358778625954199
0.002385496183206107,0.8358778625954199
0.002385496183206107,0.851145038167939
0.0030216284987277355,0.851145038167939
0.0030216284987277355,0.8549618320610687
0.0031806615776081423,0.8549618320610687
0.0031806615776081423,0.8587786259541985
0.003975826972010178,0.8587786259541985
0.003975826972010178,0.8664122137404581
0.004293893129770993,0.8664122137404581
0.004293893129770993,0.8702290076335878
0.005248091603053435,0.8702290076335878
0.005248091603053435,0.8740458015267175
0.005884223918575063,0.8740458015267175
0.005884223918575063,0.8778625954198473
0.006838422391857507,0.8778625954198473
0.006838422391857507,0.8893129770992366
0.007951653944020356,0.8893129770992366
0.007951653944020356,0.9007633587786259
0.008428753180661578,0.9007633587786259
0.008428753180661578,0.9045801526717557
0.008746819338422392,0.9045801526717557
0.008746819338422392,0.9083969465648855
0.009382951653944021,0.9083969465648855
0.009382951653944021,0.9122137404580153
0.009860050890585241,0.9122137404580153
0.009860050890585241,0.916030534351145
0.01049618320610687,0.916030534351145
0.01049618320610687,0.9198473282442748
0.01097328244274809,0.9198473282442748
0.01097328244274809,0.9236641221374046
0.011927480916030535,0.9236641221374046
0.011927480916030535,0.9274809160305344
0.012881679389312978,0.9274809160305344
0.012881679389312978,0.9312977099236641
0.014153944020356234,0.9312977099236641
0.014153944020356234,0.9351145038167938
0.015426208651399492,0.9351145038167938
0.015426208651399492,0.9389312977099237
0.019561068702290078,0.9389312977099237
0.019561068702290078,0.9427480916030534
0.021628498727735368,0.9427480916030534
0.021628498727735368,0.950381679389313
0.03482824427480916,0.950381679389313
0.03482824427480916,0.9541984732824428
0.035305343511450385,0.9541984732824428
0.035305343511450385,0.9580152671755725
0.03657760814249364,0.9580152671755725
0.03657760814249364,0.9618320610687023
0.03769083969465649,0.9618320610687023
0.03769083969465649,0.9656488549618321
0.044052162849872775,0.9656488549618321
0.044052162849872775,0.9732824427480916
0.05820610687022901,0.9732824427480916
0.05820610687022901,0.9770992366412213
0.06647582697201018,0.9770992366412213
0.06647582697201018,0.9809160305343512
0.10798346055979643,0.9809160305343512
0.10798346055979643,0.9847328244274809
0.15442111959287533,0.9847328244274809
0.15442111959287533,0.9885496183206107
0.15632951653944022,0.9885496183206107
0.15632951653944022,0.9923664122137404
0.17016539440203562,0.9923664122137404
0.17016539440203562,0.9961832061068703
0.4042620865139949,0.9961832061068703
0.40458015267175573,0.9961832061068703
0.6560114503816794,0.9961832061068703
0.6560114503816794,1.0
1.0,1.0
